Orbital Period(Hr),Eccentricity,Transit_duration(Hr),Transist dept(ppm),Planet star radius ratio,Planet radius (Earth Radius),Orbital Semi major axis(au),inclination(degree),planet star distance over star radius,stellar effective temperature(K),Stellar radius(solar radius),Stellar mass(solar mass)
0.542636318,0,1.2536,74.6,0.0078,1.39,0.0125,89.05,3.38,5277,1.633,0.888
0.544561598,0,1.6053,35.2,0.005106,44.9,0.0155,85.32,2.618,3715,80.529,1.678
0.544962596,0,1.085,248,0.01474,1.03,0.0116,82.56,3.543,5257,0.639,0.713
0.545544979,0,1.954,92.6,0.009218,0.93,0.0131,71.33,1.888,6050,0.92,0.997
0.546248198,0,2.1081,115000,0.496587,54.23,0.0131,68.45,2.58,5780,1,1
0.54624855,0,2.0543,640,0.242745,18.93,0.0121,24.42,1.334,5414,0.714,0.792
0.550509602,0,1.1836,124,0.010159,5.02,0.0136,83.46,3.38,4891,4.529,1.106
0.550537628,0,1.216,72,0.008048,1.93,0.0161,80.36,3.080864,8098,2.199,1.819
0.552141897,0,4.985,106,0.101732,10.04,0.0128,6.88,1.0984,5952,0.904,0.913
0.552834211,0,1.2887,146,0.06255,18.09,0.0141,31.45,1.225,5132,2.648,1.211
0.553261874,0,0.8875,1040,0.283769,97.36,0.0145,49.87,1.934,5679,3.142,1.325
0.555973803,0,1.271,75.3,0.008239,1.9,0.0131,78.77,2.89,5445,2.117,0.977
0.558841234,0,0.7918,281,0.015407,1.33,0.0128,86.65,5.26,5151,0.792,0.903
0.559517155,0,0.596,57.9,0.00726,1.04,0.0139,87.26,6.86,6462,1.309,1.153
0.559643825,0,0.677,1810,0.321973,27.21,0.0119,62.83,2.77,5240,0.774,0.724
0.561524348,0,3.336,34.1,0.005486,0.43,0.0116,72.19,1.369,5919,0.715,0.66
0.562006231,0,3.496,14.2,0.003668,0.58,0.0139,56.31,1.223,6609,1.455,1.144
0.562273947,0,3.1572,67,0.007913,0.73,0.0121,59.73,1.313,5632,0.847,0.736
0.562498925,0,0.6743,420,0.02826,2.88,0.0127,65.76,2.37,5638,0.933,0.868
0.562555067,0,1.7402,198,0.013287,1.21,0.013,76.51,2.259,5793,0.832,0.921
0.562563871,0,1.591,34.6,0.005506,0.69,0.014,82.1,2.619,6577,1.145,1.154
0.56256804,0,1.686,4.5,0.002073,0.63,0.0166,69.95,2.018,9005,2.773,1.941
0.56493398,0,2.4385,2070,0.311105,30.51,0.0121,28.32,1.431,5808,0.898,0.743
0.56493412,0,2.57621,253000,0.57282,33.4,0.011,74.63,2.6069,4748,0.534,0.556
0.565713361,0,0.954,86.4,0.008445,0.81,0.0127,87.06,4.49,5220,0.881,0.855
0.56669006,0,2.1674,105,0.010042,1.52,0.0147,64.74,1.656,6899,1.386,1.321
0.566717263,0,2.6079,18.5,0.004089,0.43,0.013,66.78,1.537268,5544,0.957,0.914
0.5667638,0,1.73,64.5,0.007344,0.75,0.0128,86.48,2.57,5766,0.94,0.874
0.56676437,0,2.326,76.5,0.008342,0.92,0.0139,69.56,1.7,6039,1.005,1.108
0.566769068,0,3.011,40,0.006355,1.06,0.0127,52.49,1.269,5496,1.533,0.853
0.56678012,0,3.257,27.6,0.004905,0.49,0.0133,68.98,1.373,5674,0.911,0.97
0.566780836,0,4.937,60.9,0.007115,0.75,0.0136,89.73,1.1082,5949,0.962,1.05
0.566781152,0,3.995,133,0.010672,0.54,0.0104,69.61,1.226,3725,0.46,0.473
0.56678228,0,4.725,147,0.010717,0.88,0.0121,82.26,1.1364,4796,0.749,0.742
0.566785459,0,2.893,63.8,0.007606,0.84,0.0139,66,1.446,6063,1.012,1.117
0.566786121,0,3.404,81.8,0.008583,0.79,0.0131,62.93,1.2977,5603,0.846,0.941
0.56678694,0,1.959,61.2,0.007096,0.63,0.0122,84.58,2.26,5341,0.808,0.747
0.56678702,0,3.074,7.5,0.002516,0.27,0.0128,89.95,1.538,6045,0.999,0.863
0.566789505,0,5.835,54.6,0.039354,3.37,0.0128,7.89,1.04,5894,0.784,0.863
0.566789763,0,4.008,25.4,0.004848,0.4,0.0126,56.72,1.162,5799,0.758,0.836
0.566790294,0,3.641,64,0.00744,0.89,0.0134,72.5,1.305,6100,1.093,0.993
0.566791802,0,2.2,49.3,0.006819,0.66,0.0134,66.03,1.672,5691,0.887,1.003
0.566791946,0,2.77,126,0.014498,1.54,0.0138,23.41,1.07,5836,0.97,1.087
0.566792595,0,2.637,19.9,0.004114,0.5,0.0132,87.78,1.752,6277,1.121,0.961
0.56679293,0,3.814,101,0.009188,0.86,0.0132,82.06,1.3,5812,0.853,0.947
0.566792936,0,2.846,23,0.004525,0.79,0.0133,72.22,1.529,6432,1.603,0.977
0.566793534,0,4.714,92.4,0.008135,122.64,0.0146,86.99,1.1373,3420,138.056,1.291
0.566793614,0,5.723,31.4,0.007232,21.63,0.0133,20.63,1.011,3789,27.384,0.969
0.566793818,0,4.929,100,0.012949,1.17,0.0128,14.72,1.019,5707,0.828,0.864
0.566794934,0,4.399,68.9,0.010029,1.15,0.0138,15.15,1.009,6395,1.049,1.094
0.566795196,0,2.18,14.8,0.003508,0.35,0.0134,83.59,2.036,5680,0.908,0.988
0.566795467,0,4.712,38.2,0.00578,0.67,0.0129,62.87,1.104,5642,1.056,0.886
0.566795586,0,4.124,39.4,0.006105,0.66,0.0137,52.79,1.134,6108,0.997,1.072
0.566795728,0,2.79,18.9,0.004206,0.64,0.0134,62.76,1.428,6130,1.393,1.003
0.566796331,0,5.194,115,0.013315,1.5,0.0138,12.68,1.006,6319,1.032,1.084
0.56679641,0,2.324,26.7,0.004693,0.46,0.0134,80.18,1.889,5403,0.888,0.998
0.566796615,0,1.999,47.8,0.006358,0.59,0.0131,83.68,2.205,5858,0.849,0.94
0.566796775,0,5.471,144,0.015523,0.61,0.0096,14.79,1.008,3453,0.358,0.364
0.566797404,0,4.109,69.4,0.007529,0.64,0.0121,84.47,1.237,5313,0.784,0.727
0.566797474,0,2.708,98.8,0.009444,1.04,0.0139,67.92,1.529,6046,1.007,1.111
0.56679797,0,4.503,72.6,0.00764,0.65,0.0128,81.32,1.164,5230,0.777,0.873
0.566798364,0,3.172,38.6,0.005808,0.66,0.0135,69.68,1.403,5864,1.04,1.014
0.566798545,0,5.224,36.9,0.005557,0.53,0.0134,71.96,1.0687,5629,0.87,0.987
0.566798676,0,2.777,59.9,0.007001,0.68,0.0124,89.66,1.6832,5490,0.887,0.783
0.566798827,0,3.662,34.9,0.005381,0.52,0.0127,79.13,1.325,5548,0.889,0.856
0.566799125,0,3.072,30.7,0.005094,0.56,0.0136,81.2,1.5188,6063,1.004,1.035
0.566799218,0,4.227,18.2,0.004153,0.79,0.0128,52.14,1.12,6108,1.753,0.876
